url,/fr/Vins/Vins-AOC/Cotes-de-Provence-AOC-2014/p/471066.html
name,Côtes de Provence AOC 2014
img,http://medias.nicolas.com/media/sys_master/images/hb7/h9a/8797025599518.png
district,Provence
domain,Côtes de Provence
price,6.0
size,Bouteille de 75 cl
cepage_0,Cinsault
cepage_1,Syrah
cepage_2,Grenache Noir
accord_0,Viande blanche
accord_1,Poisson grillé
accord_2,Fromage doux
description,"Robe lumineuse saumonée, suivi d’un nez d'agrumes et mentholé. En bouche, ce vin typé est équilibré, plein et épicé avec une finale croquante."
